class_name,order_name,genus,LAD,EXTANT,FALSE.EXT
(blank),(blank),Leptolithophyllum,11.608,1,1
(blank),(blank),Lima,0.0117,0,0
(blank),(blank),Limaria,0.126,0,0
(blank),(blank),Limnaea,0.781,1,0
(blank),(blank),Limopsis,3.6,0,0
(blank),(blank),Linga,0.0117,0,0
(blank),(blank),Lingulina,11.608,1,1
(blank),(blank),Lingulodinium,2.588,0,0
(blank),(blank),Liradiscus,11.62,0,0
(blank),(blank),Lirophora,10.6,0,0
(blank),(blank),Lithodesmium,11.62,0,0
(blank),(blank),Littoraria,0.0117,0,0
(blank),(blank),Lobatula,11.608,1,1
(blank),(blank),Lophiomys,2.588,0,0
(blank),(blank),Loxoconchidea,11.62,0,0
(blank),(blank),Lucina,0.0117,0,0
(blank),(blank),Lugubrilaria,0.0117,1,0
(blank),(blank),Lutianus,0.0117,0,0
(blank),(blank),Macrora,11.62,0,0
(blank),(blank),Mactra,0.0117,0,0
(blank),(blank),Mallotus,0.0117,1,0
(blank),(blank),Mangaoparia,5.333,0,0
(blank),(blank),Maoricrassus,5.333,0,0
(blank),(blank),Maoritellina,15.97,0,0
(blank),(blank),Marginulina,0.0117,1,0
(blank),(blank),Marshallena,5.333,0,0
(blank),(blank),Martinottiella,5.333,1,1
(blank),(blank),Masritherium,15.97,0,0
(blank),(blank),Matayba,15.97,0,0
(blank),(blank),Mediaria,11.62,0,0
(blank),(blank),Melonis,0.781,1,0
(blank),(blank),Melosira,2.588,0,0
(blank),(blank),Meretrix,0.0117,0,0
(blank),(blank),Merisca,0.0117,0,0
(blank),(blank),Mespilodaphne,2.588,0,0
(blank),(blank),Metagoniolithon,0.0117,1,0
(blank),(blank),Migros,15.9,1,1
(blank),(blank),Miltha,18.2,0,0
(blank),(blank),Mimosites,2.588,0,0
(blank),(blank),Miniacina,0.0117,1,0
(blank),(blank),Miogypsina,5.333,0,0
(blank),(blank),Miogypsinoides,11.608,0,0
(blank),(blank),Mioproteus,15.97,0,0
(blank),(blank),Mitra,5.333,0,0
(blank),(blank),Mizuhobaris,15.97,0,0
(blank),(blank),Monia,2.588,0,0
(blank),(blank),Mucronina,1.806,1,0
(blank),(blank),Murex,0.0117,0,0
(blank),(blank),Murexiella,0.126,0,0
(blank),(blank),Mus,2.588,0,0
(blank),(blank),Myrcia,2.588,1,0
(blank),(blank),Myrtea,5.333,0,0
(blank),(blank),Natica,0.781,0,0
(blank),(blank),Navicula,3.6,0,0
(blank),(blank),Nectandra,2.588,1,0
(blank),(blank),Nematosphaeropsis,20.44,0,0
(blank),(blank),Nemocardium,15.97,0,0
(blank),(blank),Neoconorbina,0.0117,1,0
(blank),(blank),Neoeponides,3.5,1,0
(blank),(blank),Neogloboquadrina,0.781,1,0
(blank),(blank),Neoguraleus,2.588,0,0
(blank),(blank),Neohapalops,6.8,0,0
(blank),(blank),Nephrolepidina,15.97,0,0
(blank),(blank),Neverita,9.9,0,0
(blank),(blank),Nipponocythere,11.62,0,0
(blank),(blank),Nitzschia,3.6,0,0
(blank),(blank),Nodogenerina,11.608,1,1
(blank),(blank),Nodophtalmidium,11.608,0,0
(blank),(blank),Nodosaria,2.588,1,0
(blank),(blank),Nonion,0.0117,1,0
(blank),(blank),Nonionella,0.0117,1,0
(blank),(blank),Nonionellina,0.0117,1,0
(blank),(blank),Notophthalmus,0.0117,1,0
(blank),(blank),Notorotalia,3.6,1,0
(blank),(blank),Notospisula,0.0117,0,0
(blank),(blank),Nummulites,0.1279,1,0
(blank),(blank),Nunana,11.62,0,0
(blank),(blank),Nuttallides,20.44,1,1
(blank),(blank),Odontocymbiola,0.126,0,0
(blank),(blank),Oliva,0.0117,0,0
(blank),(blank),Olivella,0.781,0,0
(blank),(blank),Onustus,0.781,0,0
(blank),(blank),Oolina,0.126,1,0
(blank),(blank),Operculina,0.1279,1,0
(blank),(blank),Operculodinium,0.0117,0,0
(blank),(blank),Orbicella,0.0117,0,0
(blank),(blank),Orbiculina,0.0117,1,0
(blank),(blank),Orbitoides,5.333,0,0
(blank),(blank),Orbitolina,5.333,0,0
(blank),(blank),Orbulina,0.0117,1,0
(blank),(blank),Oridorsalis,0.0117,1,0
(blank),(blank),Orygoceras,5.333,0,0
(blank),(blank),Osteophorus,7.246,0,0
(blank),(blank),Ovulum,11.608,1,1
(blank),(blank),Palaeocystodinium,7.246,0,0
(blank),(blank),Palaeopinnixa,15.97,0,0
(blank),(blank),Paraethomys,2.588,0,0
(blank),(blank),Parafrondicularia,5.333,1,1
(blank),(blank),Paragloborotalia,0.781,0,0
(blank),(blank),Paraleptopecten,3.2,1,0
(blank),(blank),Paralia,2.588,0,0
(blank),(blank),Pararotalia,0.1279,1,0
(blank),(blank),Pariphiculus,3.6,0,0
(blank),(blank),Paromalina,0.0117,0,0
(blank),(blank),Parrelloides,20.44,1,1
(blank),(blank),Parrotia,5.333,1,1
(blank),(blank),Parvilucina,0.0117,0,0
(blank),(blank),Patellina,0.0117,1,0
(blank),(blank),Patellinella,3.6,1,0
(blank),(blank),Pecten,5.333,0,0
(blank),(blank),Pectinucula,5.333,0,0
(blank),(blank),Pectunculina,5.333,0,0
(blank),(blank),Pelycidion,20.44,1,1
(blank),(blank),Periptera,11.62,0,0
(blank),(blank),Persea,11.608,0,0
(blank),(blank),Petauristodon,0.0117,0,0
(blank),(blank),Petenyia,0.126,0,0
(blank),(blank),Phacoides,0.0117,0,0
(blank),(blank),Phasganodus,13.82,0,0
(blank),(blank),Phasianus,0.0117,1,0
(blank),(blank),Phocanella,3.6,0,0
(blank),(blank),Phoebastria,0.0117,0,0
(blank),(blank),Pitar,0.0117,0,0
(blank),(blank),Planorbulina,0.0117,1,0
(blank),(blank),Planorbulinella,0.41,1,0
(blank),(blank),Planostegina,13.82,0,0
(blank),(blank),Plantago,1.806,1,0
(blank),(blank),Planularia,1.806,1,0
(blank),(blank),Planulina,0.0117,1,0
(blank),(blank),Platax,0.781,1,0
(blank),(blank),Plectofrondicularia,3.6,1,0
(blank),(blank),Plesiodimylus,11.62,0,0
(blank),(blank),Plesiosorex,13.65,0,0
(blank),(blank),Pleurosigma,11.62,0,0
(blank),(blank),Pleurostomella,0.781,1,0
(blank),(blank),Podocarpus,2.588,1,0
(blank),(blank),Polinices,0.0117,0,0
(blank),(blank),Polymorphina,0.126,1,0
(blank),(blank),Poroeponides,0.0117,1,0
(blank),(blank),Posidonia,3.6,1,0
(blank),(blank),Potamogeton,5.333,0,0
(blank),(blank),Praeglobobulimina,0.0117,1,0
(blank),(blank),Praeorbulina,12.7,0,0
(blank),(blank),Pristipomoides,15.97,1,1
(blank),(blank),Protatera,2.588,0,0
(blank),(blank),Protelphidium,0.0117,0,0
(blank),(blank),Protoelphidium,11.608,0,0
(blank),(blank),Protosciaena,15.97,1,1
(blank),(blank),Pseudodimerogramma,11.62,0,0
(blank),(blank),Pseudogaudryina,3.6,1,0
(blank),(blank),Pseudonodosaria,15.9,1,1
(blank),(blank),Pseudoparrella,20.44,1,1
(blank),(blank),Pseudopolymorphina,0.0117,1,0
(blank),(blank),Pseudopyxilla,11.62,0,0
(blank),(blank),Pseudorotalia,2.588,1,0
(blank),(blank),Pseudotorinia,2.588,0,0
(blank),(blank),Pteris,2.588,0,0
(blank),(blank),Pterodinium,15.97,0,0
(blank),(blank),Pterospermella,20.44,0,0
(blank),(blank),Pullenia,2.588,1,0
(blank),(blank),Pulleniatina,2.588,1,0
(blank),(blank),Pulvinulina,2.588,0,0
(blank),(blank),Putilla,0.781,0,0
(blank),(blank),Pygmaeoseistron,15.97,1,1
(blank),(blank),Pyruconus,3.6,0,0
(blank),(blank),Pyrulina,0.0117,1,0
(blank),(blank),Pythonichthys,15.97,1,1
(blank),(blank),Pyxilla,11.62,0,0
(blank),(blank),Quadrans,0.0117,0,0
(blank),(blank),Raphidodiscus,11.62,0,0
(blank),(blank),Rectobolivina,2.588,1,0
(blank),(blank),Rectoglandulina,11.608,0,0
(blank),(blank),Rectuvigerina,3.6,1,0
(blank),(blank),Recurvoides,20.44,1,1
(blank),(blank),Reticulatosphaera,13.82,0,0
(blank),(blank),Reticulofenestra,0.781,1,0
(blank),(blank),Reusella,12.4,1,1
(blank),(blank),Reussella,0.126,1,0
(blank),(blank),Rhaphoneis,11.62,0,0
(blank),(blank),Rhizosolenia,3.6,0,0
(blank),(blank),Rhyssomatus,5.333,0,0
(blank),(blank),Robertina,5.333,1,1
(blank),(blank),Robulus,0.0117,0,0
(blank),(blank),Rosalina,0.0117,1,0
(blank),(blank),Rotalia,0.0117,0,0
(blank),(blank),Rotorbinella,15.97,1,1
(blank),(blank),Rouxia,11.62,0,0
(blank),(blank),Rupertia,0.0175,1,0
(blank),(blank),Ruscinomys,2.588,0,0
(blank),(blank),Sagenina,5.333,1,1
(blank),(blank),Sagrina,1.9,1,0
(blank),(blank),Sagrinella,15.97,1,1
(blank),(blank),Salamandra,2.588,1,0
(blank),(blank),Saracenaria,0.0117,1,0
(blank),(blank),Saxidomus,0.0117,0,0
(blank),(blank),Scapharca,0.0117,0,0
